hour,wet_bulb_C
0,13.3
1,13.59
2,13.27
3,13.79
4,14.39
5,13.51
6,13.03
7,13.03
8,14.55
9,14.73
10,14.76
11,14.52
12,13.98
13,13.74
14,13.52
15,13.99
16,13.73
17,12.85
18,12.05
19,10.72
20,9.39
21,8.31
22,7.5
23,7.14
24,6.31
25,5.48
26,4.93
27,4.37
28,3.91
29,3.44
30,2.98
31,2.54
32,2.41
33,2.78
34,3.84
35,5.3
36,6.56
37,8.0
38,9.21
39,10.08
40,9.97
41,9.79
42,9.8
43,9.26
44,8.61
45,8.32
46,8.92
47,9.02
48,8.53
49,8.03
50,8.13
51,8.03
52,7.35
53,6.86
54,6.16
55,5.85
56,6.85
57,6.76
58,6.96
59,7.55
60,8.21
61,9.02
62,9.92
63,10.52
64,10.52
65,10.0
66,9.55
67,9.05
68,8.13
69,7.74
70,7.35
71,6.95
72,6.45
73,6.26
74,5.96
75,5.18
76,4.78
77,4.39
78,3.99
79,3.8
80,3.69
81,4.32
82,6.01
83,7.62
84,8.84
85,9.38
86,10.03
87,9.98
88,9.87
89,9.33
90,8.85
91,8.43
92,7.38
93,7.63
94,7.67
95,8.52
96,9.22
97,10.02
98,10.5
99,11.01
100,11.75
101,12.27
102,12.38
103,12.11
104,13.61
105,9.33
106,9.03
107,9.42
108,9.21
109,10.09
110,12.02
111,12.67
112,12.11
113,11.75
114,11.06
115,9.0
116,7.79
117,7.16
118,7.16
119,6.68
120,6.48
121,5.77
122,5.37
123,5.36
124,5.67
125,5.39
126,4.61
127,4.51
128,3.85
129,5.06
130,7.25
131,8.67
132,9.32
133,10.05
134,10.49
135,10.81
136,10.96
137,10.7
138,10.81
139,8.67
140,8.84
141,8.21
142,7.74
143,7.07
144,6.68
145,6.29
146,5.78
147,5.18
148,5.09
149,4.7
150,4.19
151,3.79
152,4.34
153,5.06
154,7.35
155,8.96
156,9.58
157,9.76
158,9.63
159,9.94
160,9.8
161,8.95
162,8.67
163,8.77
164,8.31
165,8.31
166,8.87
167,9.24
168,9.83
169,10.58
170,11.35
171,11.76
172,12.38
173,13.08
174,13.82
175,14.55
176,15.17
177,16.08
178,16.88
179,17.43
180,17.52
181,17.63
182,19.43
183,21.17
184,21.56
185,18.89
186,11.53
187,10.17
188,10.13
189,9.03
190,8.48
191,7.03
192,6.37
193,6.38
194,5.82
195,3.54
196,2.16
197,1.76
198,1.17
199,0.92
200,0.97
201,1.19
202,2.29
203,2.81
204,3.62
205,4.42
206,4.87
207,5.27
208,5.48
209,5.43
210,4.98
211,3.87
212,3.38
213,2.56
214,1.93
215,1.59
216,1.47
217,1.25
218,0.84
219,0.88
220,0.87
221,0.52
222,0.12
223,-0.09
224,-0.33
225,1.19
226,4.42
227,8.08
228,10.03
229,11.43
230,12.49
231,12.85
232,12.93
233,13.17
234,13.02
235,12.21
236,11.47
237,11.19
238,11.24
239,11.36
240,11.37
241,11.48
242,11.68
243,11.88
244,11.6
245,11.32
246,11.33
247,12.02
248,14.31
249,14.92
250,16.6
251,17.3
252,18.76
253,19.08
254,19.22
255,19.04
256,19.54
257,19.2
258,18.74
259,18.18
260,18.41
261,18.59
262,18.91
263,18.57
264,18.47
265,18.79
266,19.02
267,19.14
268,19.24
269,17.69
270,14.26
271,9.31
272,8.25
273,7.12
274,7.86
275,5.72
276,4.64
277,4.2
278,3.94
279,4.02
280,4.18
281,3.92
282,3.46
283,2.48
284,2.47
285,1.84
286,1.34
287,1.16
288,1.02
289,0.94
290,0.84
291,0.91
292,0.48
293,0.37
294,0.54
295,0.87
296,0.17
297,1.26
298,4.18
299,6.66
300,8.24
301,9.03
302,9.6
303,10.09
304,10.34
305,10.16
306,9.85
307,9.23
308,9.15
309,8.97
310,8.67
311,8.42
312,8.62
313,9.01
314,8.03
315,8.72
316,8.03
317,7.24
318,6.84
319,4.05
320,2.01
321,1.47
322,1.63
323,2.89
324,4.42
325,5.04
326,5.3
327,5.3
328,5.12
329,4.67
330,4.3
331,3.84
332,0.48
333,-0.01
334,-0.32
335,-0.24
336,-0.45
337,-1.0
338,-1.49
339,-1.54
340,-1.33
341,-1.12
342,-0.6
343,-0.48
344,-2.18
345,-1.94
346,-1.75
347,-1.37
348,-0.55
349,-0.99
350,-0.99
351,-0.64
352,-0.51
353,-0.08
354,-0.33
355,-0.88
356,-4.55
357,-5.16
358,-5.61
359,-6.26
360,-6.64
361,-7.01
362,-7.51
363,-7.73
364,-7.91
365,-8.14
366,-8.55
367,-9.05
368,-9.94
369,-9.77
370,-8.59
371,-7.59
372,-6.14
373,-5.17
374,-4.34
375,-3.78
