hour_of_day,ci_g_per_kwh,multiplier_vs_annual
0,358.70627026650095,1.0732
1,378.5515020185527,1.1326
2,378.95317950888005,1.1338
3,366.55935189521546,1.0967
4,352.638827416725,1.0551
5,340.01178177580294,1.0173
6,328.77542388595157,0.9837
7,321.37224437318673,0.9615
8,318.8866111853382,0.9541
9,320.272052710725,0.9582
10,325.105815320554,0.9727
11,333.2591360534542,0.9971
12,344.83831212904295,1.0317
13,350.788834709705,1.0495
14,337.3197312480906,1.0092
15,316.38526613038624,0.9466
16,309.5796189667126,0.9262
17,311.5958657734609,0.9323
18,314.95531360135334,0.9423
19,317.59391015461745,0.9502
20,318.91513841840344,0.9542
21,319.9854990319075,0.9574
22,322.746687310245,0.9656
23,333.86943060401205,0.9989
