hour,timestamp_utc,total_gen_MW,co2_emissions_g,carbon_intensity_g_per_kwh,gen_Coal_MW,gen_NaturalGas_MW,gen_Nuclear_MW,gen_Petroleum_MW,gen_Hydro_MW,gen_Solar_MW,gen_Wind_MW,gen_Geothermal_MW,gen_BatteryStorage_MW,gen_Other_MW,gen_Unknown_MW
0,2024-01-01 07:00:00,41590.0,12807454000.0,307.9455157489781,5948.0,15679.0,5115.0,0.0,0.0,0.0,14824.0,0.0,0.0,24.0,0.0
1,2024-01-01 08:00:00,41673.0,13229755000.0,317.46586518849136,5940.0,16695.0,5115.0,0.0,1.0,0.0,13891.0,0.0,0.0,31.0,0.0
2,2024-01-01 09:00:00,41569.0,13608703000.0,327.3762419110395,6023.0,17419.0,5115.0,0.0,18.0,0.0,12971.0,0.0,0.0,23.0,0.0
3,2024-01-01 10:00:00,41537.0,14191203000.0,341.6520933143944,6332.0,18082.0,5115.0,0.0,0.0,0.0,11973.0,0.0,0.0,35.0,0.0
4,2024-01-01 11:00:00,42228.0,15452737000.0,365.9358008904045,7186.0,19067.0,5115.0,0.0,0.0,0.0,10797.0,0.0,0.0,63.0,0.0
5,2024-01-01 12:00:00,43244.0,17773057000.0,410.9947507168624,9027.0,20331.0,5115.0,0.0,0.0,0.0,8717.0,0.0,0.0,54.0,0.0
6,2024-01-01 13:00:00,44489.0,19997805000.0,449.4999887612668,10531.0,22051.0,5115.0,0.0,18.0,0.0,6653.0,0.0,0.0,121.0,0.0
7,2024-01-01 14:00:00,44935.0,21242993000.0,472.7493713141204,11326.0,22747.0,5115.0,0.0,18.0,86.0,5163.0,0.0,0.0,480.0,0.0
8,2024-01-01 15:00:00,45953.0,21267887000.0,462.81824908058235,11257.0,22867.0,5115.0,0.0,18.0,3034.0,3313.0,0.0,0.0,349.0,0.0
9,2024-01-01 16:00:00,46450.0,19360489000.0,416.8027771797632,9886.0,21427.0,5115.0,0.0,17.0,7922.0,2015.0,0.0,0.0,68.0,0.0
10,2024-01-01 17:00:00,46711.0,19124470000.0,409.4211213632763,9996.0,20549.0,5115.0,0.0,0.0,9500.0,1540.0,0.0,0.0,11.0,0.0
11,2024-01-01 18:00:00,46375.0,18088946000.0,390.05813477088947,9021.0,20261.0,5115.0,0.0,0.0,10138.0,1802.0,0.0,0.0,38.0,0.0
12,2024-01-01 19:00:00,45649.0,17079643000.0,374.1515257727442,8114.0,19964.0,5115.0,0.0,0.0,10430.0,2003.0,0.0,0.0,23.0,0.0
13,2024-01-01 20:00:00,44594.0,15864331000.0,355.750347580392,7051.0,19506.0,5114.0,0.0,0.0,10832.0,2057.0,0.0,0.0,34.0,0.0
14,2024-01-01 21:00:00,44132.0,15154652000.0,343.39372790718755,6504.0,19035.0,5115.0,0.0,1.0,11223.0,2199.0,0.0,0.0,55.0,0.0
15,2024-01-01 22:00:00,44004.0,14635325000.0,332.59078720116355,6066.0,18813.0,5115.0,0.0,0.0,11239.0,2718.0,0.0,0.0,53.0,0.0
16,2024-01-01 23:00:00,44324.0,16880949000.0,380.8534653912102,7622.0,20710.0,5115.0,0.0,18.0,7278.0,3393.0,0.0,0.0,188.0,0.0
17,2024-01-02 00:00:00,46515.0,21461825000.0,461.39578630549283,10990.0,23731.0,5115.0,0.0,18.0,921.0,5080.0,0.0,0.0,660.0,0.0
18,2024-01-02 01:00:00,48665.0,22403963000.0,460.37117024555636,11633.0,24797.0,5115.0,0.0,18.0,0.0,6691.0,0.0,0.0,411.0,0.0
19,2024-01-02 02:00:00,49206.0,22263210000.0,452.4490915741983,11608.0,24672.0,5115.0,0.0,42.0,0.0,7502.0,0.0,0.0,267.0,0.0
