hour,datetime_utc,price_usd_per_mwh
0,2023-01-01 06:00:00+00:00,10.37
1,2023-01-01 07:00:00+00:00,9.85
2,2023-01-01 08:00:00+00:00,8.58
3,2023-01-01 09:00:00+00:00,8.18
4,2023-01-01 10:00:00+00:00,8.33
5,2023-01-01 11:00:00+00:00,8.58
6,2023-01-01 12:00:00+00:00,13.85
7,2023-01-01 13:00:00+00:00,14.44
8,2023-01-01 14:00:00+00:00,15.07
9,2023-01-01 15:00:00+00:00,15.03
10,2023-01-01 16:00:00+00:00,17.28
11,2023-01-01 17:00:00+00:00,17.88
12,2023-01-01 18:00:00+00:00,17.57
13,2023-01-01 19:00:00+00:00,18.23
14,2023-01-01 20:00:00+00:00,19.5
15,2023-01-01 21:00:00+00:00,17.19
16,2023-01-01 22:00:00+00:00,25.03
17,2023-01-01 23:00:00+00:00,33.17
18,2023-01-02 00:00:00+00:00,23.9
19,2023-01-02 01:00:00+00:00,18.36
20,2023-01-02 02:00:00+00:00,16.09
21,2023-01-02 03:00:00+00:00,16.74
22,2023-01-02 04:00:00+00:00,13.78
23,2023-01-02 05:00:00+00:00,9.65
24,2023-01-02 06:00:00+00:00,9.31
25,2023-01-02 07:00:00+00:00,4.98
26,2023-01-02 08:00:00+00:00,3.83
27,2023-01-02 09:00:00+00:00,3.71
28,2023-01-02 10:00:00+00:00,7.35
29,2023-01-02 11:00:00+00:00,8.85
30,2023-01-02 12:00:00+00:00,12.96
31,2023-01-02 13:00:00+00:00,15.96
32,2023-01-02 14:00:00+00:00,17.79
33,2023-01-02 15:00:00+00:00,18.72
34,2023-01-02 16:00:00+00:00,18.71
35,2023-01-02 17:00:00+00:00,19.43
36,2023-01-02 18:00:00+00:00,18.55
37,2023-01-02 19:00:00+00:00,14.85
38,2023-01-02 20:00:00+00:00,12.89
39,2023-01-02 21:00:00+00:00,14.09
40,2023-01-02 22:00:00+00:00,16.96
41,2023-01-02 23:00:00+00:00,33.52
42,2023-01-03 00:00:00+00:00,24.63
43,2023-01-03 01:00:00+00:00,18.41
44,2023-01-03 02:00:00+00:00,17.26
45,2023-01-03 03:00:00+00:00,16.83
46,2023-01-03 04:00:00+00:00,15.08
47,2023-01-03 05:00:00+00:00,9.94
48,2023-01-03 06:00:00+00:00,11.52
49,2023-01-03 07:00:00+00:00,8.55
50,2023-01-03 08:00:00+00:00,4.54
51,2023-01-03 09:00:00+00:00,9.48
52,2023-01-03 10:00:00+00:00,11.41
53,2023-01-03 11:00:00+00:00,16.33
54,2023-01-03 12:00:00+00:00,20.62
55,2023-01-03 13:00:00+00:00,28.31
56,2023-01-03 14:00:00+00:00,20.55
57,2023-01-03 15:00:00+00:00,16.44
58,2023-01-03 16:00:00+00:00,14.41
59,2023-01-03 17:00:00+00:00,13.77
60,2023-01-03 18:00:00+00:00,14.99
61,2023-01-03 19:00:00+00:00,15.65
62,2023-01-03 20:00:00+00:00,15.93
63,2023-01-03 21:00:00+00:00,17.12
64,2023-01-03 22:00:00+00:00,19.35
65,2023-01-03 23:00:00+00:00,52.57
66,2023-01-04 00:00:00+00:00,40.51
67,2023-01-04 01:00:00+00:00,31.62
68,2023-01-04 02:00:00+00:00,29.56
69,2023-01-04 03:00:00+00:00,22.84
70,2023-01-04 04:00:00+00:00,18.78
71,2023-01-04 05:00:00+00:00,17.51
72,2023-01-04 06:00:00+00:00,15.41
73,2023-01-04 07:00:00+00:00,10.75
74,2023-01-04 08:00:00+00:00,10.04
75,2023-01-04 09:00:00+00:00,10.05
76,2023-01-04 10:00:00+00:00,12.16
77,2023-01-04 11:00:00+00:00,17.78
78,2023-01-04 12:00:00+00:00,28.21
79,2023-01-04 13:00:00+00:00,33.98
80,2023-01-04 14:00:00+00:00,22.32
81,2023-01-04 15:00:00+00:00,19.34
82,2023-01-04 16:00:00+00:00,17.37
83,2023-01-04 17:00:00+00:00,16.58
84,2023-01-04 18:00:00+00:00,16.67
85,2023-01-04 19:00:00+00:00,16.6
86,2023-01-04 20:00:00+00:00,17.56
87,2023-01-04 21:00:00+00:00,18.93
88,2023-01-04 22:00:00+00:00,28.63
89,2023-01-04 23:00:00+00:00,40.39
90,2023-01-05 00:00:00+00:00,41.55
91,2023-01-05 01:00:00+00:00,34.99
92,2023-01-05 02:00:00+00:00,33.51
93,2023-01-05 03:00:00+00:00,29.52
94,2023-01-05 04:00:00+00:00,25.9
95,2023-01-05 05:00:00+00:00,24.34
96,2023-01-05 06:00:00+00:00,27.45
97,2023-01-05 07:00:00+00:00,24.22
98,2023-01-05 08:00:00+00:00,24.59
99,2023-01-05 09:00:00+00:00,26.71
100,2023-01-05 10:00:00+00:00,27.73
101,2023-01-05 11:00:00+00:00,34.27
102,2023-01-05 12:00:00+00:00,73.84
103,2023-01-05 13:00:00+00:00,81.18
104,2023-01-05 14:00:00+00:00,34.9
105,2023-01-05 15:00:00+00:00,27.69
106,2023-01-05 16:00:00+00:00,27.1
107,2023-01-05 17:00:00+00:00,25.33
108,2023-01-05 18:00:00+00:00,24.8
109,2023-01-05 19:00:00+00:00,22.1
110,2023-01-05 20:00:00+00:00,21.36
111,2023-01-05 21:00:00+00:00,21.46
112,2023-01-05 22:00:00+00:00,25.83
113,2023-01-05 23:00:00+00:00,54.53
114,2023-01-06 00:00:00+00:00,32.6
115,2023-01-06 01:00:00+00:00,24.34
116,2023-01-06 02:00:00+00:00,21.83
117,2023-01-06 03:00:00+00:00,20.92
118,2023-01-06 04:00:00+00:00,20.12
119,2023-01-06 05:00:00+00:00,15.11
120,2023-01-06 06:00:00+00:00,10.46
121,2023-01-06 07:00:00+00:00,8.93
122,2023-01-06 08:00:00+00:00,10.8
123,2023-01-06 09:00:00+00:00,11.3
124,2023-01-06 10:00:00+00:00,15.24
125,2023-01-06 11:00:00+00:00,23.13
126,2023-01-06 12:00:00+00:00,36.24
127,2023-01-06 13:00:00+00:00,33.52
128,2023-01-06 14:00:00+00:00,33.32
129,2023-01-06 15:00:00+00:00,26.4
130,2023-01-06 16:00:00+00:00,18.35
131,2023-01-06 17:00:00+00:00,17.46
132,2023-01-06 18:00:00+00:00,16.76
133,2023-01-06 19:00:00+00:00,16.53
134,2023-01-06 20:00:00+00:00,14.64
135,2023-01-06 21:00:00+00:00,15.58
136,2023-01-06 22:00:00+00:00,20.23
137,2023-01-06 23:00:00+00:00,44.97
138,2023-01-07 00:00:00+00:00,32.24
139,2023-01-07 01:00:00+00:00,20.5
140,2023-01-07 02:00:00+00:00,19.11
141,2023-01-07 03:00:00+00:00,19.52
142,2023-01-07 04:00:00+00:00,18.33
143,2023-01-07 05:00:00+00:00,17.84
144,2023-01-07 06:00:00+00:00,24.24
145,2023-01-07 07:00:00+00:00,20.91
146,2023-01-07 08:00:00+00:00,19.66
147,2023-01-07 09:00:00+00:00,19.07
148,2023-01-07 10:00:00+00:00,18.24
149,2023-01-07 11:00:00+00:00,18.43
150,2023-01-07 12:00:00+00:00,21.46
151,2023-01-07 13:00:00+00:00,25.15
152,2023-01-07 14:00:00+00:00,21.72
153,2023-01-07 15:00:00+00:00,20.09
154,2023-01-07 16:00:00+00:00,21.93
155,2023-01-07 17:00:00+00:00,23.53
156,2023-01-07 18:00:00+00:00,24.2
157,2023-01-07 19:00:00+00:00,24.78
158,2023-01-07 20:00:00+00:00,23.04
159,2023-01-07 21:00:00+00:00,24.78
160,2023-01-07 22:00:00+00:00,25.25
161,2023-01-07 23:00:00+00:00,54.14
162,2023-01-08 00:00:00+00:00,41.08
163,2023-01-08 01:00:00+00:00,31.84
164,2023-01-08 02:00:00+00:00,29.44
165,2023-01-08 03:00:00+00:00,28.34
166,2023-01-08 04:00:00+00:00,26.5
167,2023-01-08 05:00:00+00:00,25.58
168,2023-01-08 06:00:00+00:00,28.4
169,2023-01-08 07:00:00+00:00,25.57
170,2023-01-08 08:00:00+00:00,24.31
171,2023-01-08 09:00:00+00:00,24.69
172,2023-01-08 10:00:00+00:00,25.05
173,2023-01-08 11:00:00+00:00,26.33
174,2023-01-08 12:00:00+00:00,27.2
175,2023-01-08 13:00:00+00:00,30.08
176,2023-01-08 14:00:00+00:00,27.92
177,2023-01-08 15:00:00+00:00,23.72
178,2023-01-08 16:00:00+00:00,22.25
179,2023-01-08 17:00:00+00:00,21.93
180,2023-01-08 18:00:00+00:00,20.99
181,2023-01-08 19:00:00+00:00,20.53
182,2023-01-08 20:00:00+00:00,20.07
183,2023-01-08 21:00:00+00:00,19.39
184,2023-01-08 22:00:00+00:00,20.81
185,2023-01-08 23:00:00+00:00,66.05
186,2023-01-09 00:00:00+00:00,37.86
187,2023-01-09 01:00:00+00:00,26.9
188,2023-01-09 02:00:00+00:00,22.31
