Location,count,mean,std,min,p05,p50,p95,p99,max,year
HB_BUSAVG,35040,62.21380165525114,174.38378136472954,-251.0,11.249500000000001,44.23,103.46199999999982,391.2745000000003,5154.53,2022
HB_HOUSTON,35040,69.0471035958904,192.7631127922444,-30.64,16.83,46.59,115.14199999999983,511.19800000000106,5168.62,2022
HB_HUBAVG,35040,62.30336301369863,174.51532796467336,-40.02,10.209000000000001,44.02,104.79399999999966,403.82540000000125,5101.55,2022
HB_NORTH,35040,62.15633732876712,178.65804335759418,-251.0,11.189,44.37,100.39,377.13770000000034,5409.28,2022
HB_SOUTH,35040,60.55964212328767,161.86307575608234,-126.1,9.649500000000002,43.52,97.99049999999995,390.44080000000014,4976.89,2022
HB_WEST,35040,57.45051455479452,179.60273028709656,-251.0,-3.13,42.4,103.48099999999992,375.4016000000021,5500.35,2022
HB_BUSAVG,35040,48.138327625570774,248.93068148242452,-31.6,6.87,21.17,75.76049999999996,531.130600000002,5107.43,2023
HB_HOUSTON,35040,49.580890696347026,252.69791318200944,-244.14,8.6995,21.62,76.57049999999995,571.5525000000001,5149.93,2023
HB_HUBAVG,35040,48.35683618721461,247.63164210037328,-31.53,6.43,21.37,76.43099999999993,528.4389000000009,5075.46,2023
HB_NORTH,35040,48.300742865296804,255.36779211918443,-37.27,6.03,20.78,75.83249999999978,545.1391000000019,5296.29,2023
HB_SOUTH,35040,46.099498002283106,231.18221698317393,-191.66,6.93,21.45,75.07,464.82230000000027,5023.13,2023
HB_WEST,35040,49.44623829908676,254.81103267794612,-31.22,-1.69,21.64,84.33049999999996,553.6576000000013,5333.97,2023
HB_BUSAVG,35136,26.471538023679415,85.86536908758167,-31.98,2.68,19.39,62.225,139.86050000000023,4981.33,2024
HB_HOUSTON,35136,26.89188069216758,85.05296825623822,-32.0,4.0275,19.95,61.13,134.39600000000004,4981.41,2024
HB_HUBAVG,35136,26.825810849271402,85.81273763192827,-32.0,2.45,19.6,63.5375,141.63600000000005,4981.33,2024
HB_NORTH,35136,25.889394637978143,86.42694334491395,-65.55,1.6775,18.99,61.1425,138.2620000000001,4981.35,2024
HB_SOUTH,35136,27.07350552140255,85.51634723359052,-70.24,2.555,19.44,64.07499999999999,157.49150000000046,4981.23,2024
HB_WEST,35136,27.448506659836067,88.43274860391006,-31.9,-2.6025,19.9,73.0025,162.65500000000043,4981.33,2024
