hour,IT_load_MW
0,10.00
1,10.25
2,10.82
3,11.69
4,12.80
5,14.08
6,15.45
7,16.81
8,18.09
9,19.20
10,20.06
11,20.63
12,20.87
13,20.76
14,20.33
15,19.60
16,18.63
17,17.48
18,16.25
19,15.01
20,13.86
21,12.88
22,12.14
23,11.69
24,11.56
25,11.78
26,12.32
27,13.16
28,14.23
29,15.47
30,16.80
31,18.13
32,19.36
33,20.42
34,21.24
35,21.76
36,21.95
37,21.79
38,21.31
39,20.52
40,19.49
41,18.29
42,17.00
43,15.70
44,14.49
45,13.45
46,12.65
47,12.14
48,11.95
49,12.10
50,12.58
51,13.35
52,14.36
53,15.54
54,16.80
55,18.06
56,19.23
57,20.23
58,20.98
59,21.44
60,21.56
61,21.35
62,20.80
63,19.95
64,18.86
65,17.60
66,16.25
67,14.89
68,13.63
69,12.53
70,11.67
71,11.10
72,10.87
73,10.97
74,11.40
75,12.13
76,13.09
77,14.22
78,15.45
79,16.67
80,17.80
81,18.76
82,19.48
83,19.90
84,20.00
85,19.75
86,19.18
87,18.31
88,17.20
89,15.92
90,14.55
91,13.19
92,11.91
93,10.80
94,10.00
95,10.00
96,10.00
97,10.00
98,10.00
99,10.40
100,11.37
101,12.52
102,13.75
103,14.99
104,16.14
105,17.12
106,17.86
107,18.31
108,18.44
109,18.22
110,17.68
111,16.84
112,15.77
113,14.53
114,13.20
115,11.87
116,10.64
117,10.00
118,10.00
119,10.00
120,10.00
121,10.00
122,10.00
123,10.00
124,10.51
125,11.71
126,13.00
127,14.30
128,15.51
129,16.55
130,17.35
131,17.86
132,18.05
133,17.90
134,17.42
135,16.65
136,15.64
137,14.46
138,13.20
139,11.94
140,10.77
141,10.00
142,10.00
143,10.00
144,10.00
145,10.00
146,10.00
147,10.05
148,11.14
149,12.40
150,13.75
151,15.11
152,16.37
153,17.47
154,18.33
155,18.90
156,19.13
157,19.03
158,18.60
159,17.87
160,16.91
161,15.78
162,14.55
163,13.33
164,12.20
165,11.24
166,10.52
167,10.10
