hour,price_import,price_export
0,15.84,15.84
1,16.84,16.84
2,16.78,16.78
3,17.39,17.39
4,19.01,19.01
5,21.42,21.42
6,24.22,24.22
7,28.41,28.41
8,22.68,22.68
9,19.54,19.54
10,18.49,18.49
11,17.9,17.9
12,16.55,16.55
13,14.46,14.46
14,13.86,13.86
15,13.18,13.18
16,20.21,20.21
17,36.45,36.45
18,27.6,27.6
19,23.92,23.92
20,24.09,24.09
21,22.18,22.18
22,21.25,21.25
23,20.22,20.22
24,19.24,19.24
25,18.49,18.49
26,18.94,18.94
27,19.65,19.65
28,20.77,20.77
29,25.05,25.05
30,35.82,35.82
31,41.47,41.47
32,34.73,34.73
33,25.75,25.75
34,22.72,22.72
35,19.32,19.32
36,18.08,18.08
37,17.71,17.71
38,17.17,17.17
39,18.5,18.5
40,24.2,24.2
41,45.55,45.55
42,37.63,37.63
43,31.66,31.66
44,26.75,26.75
45,23.72,23.72
46,24.81,24.81
47,22.06,22.06
48,20.91,20.91
49,19.22,19.22
50,19.07,19.07
51,19.27,19.27
52,20.94,20.94
53,23.36,23.36
54,39.31,39.31
55,42.58,42.58
56,33.61,33.61
57,24.84,24.84
58,20.38,20.38
59,19.21,19.21
60,17.02,17.02
61,16.67,16.67
62,15.58,15.58
63,15.33,15.33
64,19.57,19.57
65,42.21,42.21
66,32.78,32.78
67,27.78,27.78
68,24.73,24.73
69,21.67,21.67
70,18.26,18.26
71,16.66,16.66
72,17.39,17.39
73,17.15,17.15
74,17.64,17.64
75,18.73,18.73
76,19.46,19.46
77,21.49,21.49
78,29.61,29.61
79,27.76,27.76
80,21.15,21.15
81,18.3,18.3
82,17.08,17.08
83,16.18,16.18
84,12.99,12.99
85,11.13,11.13
86,10.92,10.92
87,13.17,13.17
88,16.73,16.73
89,28.5,28.5
90,23.68,23.68
91,20.15,20.15
92,20.48,20.48
93,18.92,18.92
94,17.75,17.75
95,17.4,17.4
96,16.1,16.1
97,15.59,15.59
98,15.39,15.39
99,16.01,16.01
100,17.92,17.92
101,21.61,21.61
102,27.81,27.81
103,27.81,27.81
104,20.89,20.89
105,18.17,18.17
106,17.14,17.14
107,15.29,15.29
108,11.02,11.02
109,8.41,8.41
110,6.95,6.95
111,10.01,10.01
112,18.3,18.3
113,38.91,38.91
114,33.41,33.41
115,30.37,30.37
116,30.09,30.09
117,27.78,27.78
118,27.86,27.86
119,26.37,26.37
120,24.37,24.37
121,21.92,21.92
122,21.41,21.41
123,22.67,22.67
124,24.29,24.29
125,28.92,28.92
126,42.06,42.06
127,44.99,44.99
128,32.34,32.34
129,19.96,19.96
130,18.62,18.62
131,18.19,18.19
132,15.39,15.39
133,14.75,14.75
134,14.07,14.07
135,14.47,14.47
136,19.52,19.52
137,36.06,36.06
138,32.49,32.49
139,34.54,34.54
140,33.36,33.36
141,26.78,26.78
142,25.87,25.87
143,23.05,23.05
144,30.19,30.19
145,29.41,29.41
146,29.21,29.21
147,24.47,24.47
148,26.38,26.38
149,24.75,24.75
150,22.48,22.48
151,21.75,21.75
152,18.88,18.88
153,16.17,16.17
154,12.69,12.69
155,6.38,6.38
156,3.36,3.36
157,1.43,1.43
158,0.9,0.9
159,1.5,1.5
160,4.17,4.17
161,11.66,11.66
162,15.87,15.87
163,16.13,16.13
164,15.22,15.22
165,15.48,15.48
166,8.21,8.21
167,5.61,5.61
168,3.81,3.81
169,1.82,1.82
170,1.4,1.4
171,1.85,1.85
172,3.95,3.95
173,9.48,9.48
174,18.71,18.71
175,23.96,23.96
176,18.63,18.63
177,13.49,13.49
178,12.95,12.95
179,12.63,12.63
180,11.32,11.32
181,10.97,10.97
182,10.65,10.65
183,11.18,11.18
184,14.43,14.43
185,25.19,25.19
186,28.71,28.71
187,20.15,20.15
188,17.61,17.61
189,15.07,15.07
190,12.47,12.47
191,9.52,9.52
192,14.77,14.77
193,13.82,13.82
194,13.92,13.92
195,13.86,13.86
196,16.27,16.27
197,18.48,18.48
198,28.16,28.16
199,35.77,35.77
200,24.27,24.27
201,17.61,17.61
202,14.33,14.33
203,12.01,12.01
204,10.84,10.84
205,13.25,13.25
206,14.13,14.13
207,15.33,15.33
208,18.31,18.31
209,59.63,59.63
210,61.53,61.53
211,42.78,42.78
212,27.98,27.98
213,23.29,23.29
214,19.18,19.18
215,19.01,19.01
216,19.1,19.1
217,17.74,17.74
218,17.64,17.64
219,17.76,17.76
220,18.3,18.3
221,23.58,23.58
222,31.61,31.61
223,29.68,29.68
224,22.39,22.39
225,17.84,17.84
226,14.93,14.93
227,8.15,8.15
228,5.61,5.61
229,5.61,5.61
230,6.59,6.59
231,12.64,12.64
232,19.76,19.76
233,52.58,52.58
234,43.04,43.04
235,39.01,39.01
236,31.91,31.91
237,25.09,25.09
238,19.72,19.72
239,19.79,19.79
240,20.04,20.04
241,19.52,19.52
242,18.35,18.35
243,17.42,17.42
244,17.21,17.21
245,20.01,20.01
246,28.32,28.32
247,27.5,27.5
248,23.03,23.03
249,17.59,17.59
250,15.4,15.4
251,9.49,9.49
252,6.2,6.2
253,6.25,6.25
254,6.35,6.35
255,6.8,6.8
256,11.52,11.52
257,20.47,20.47
258,21.95,21.95
259,20.01,20.01
260,18.43,18.43
261,17.08,17.08
262,12.51,12.51
263,10.16,10.16
264,6.26,6.26
265,4.36,4.36
266,3.87,3.87
267,3.37,3.37
268,7.24,7.24
269,16.67,16.67
270,21.95,21.95
271,25.47,25.47
272,23.65,23.65
273,18.36,18.36
274,16.68,16.68
275,14.6,14.6
276,10.31,10.31
277,10.63,10.63
278,9.19,9.19
279,10.4,10.4
280,18.32,18.32
281,35.06,35.06
282,42.39,42.39
283,34.67,34.67
284,29.05,29.05
285,25.01,25.01
286,21.57,21.57
287,21.17,21.17
288,14.99,14.99
289,12.98,12.98
290,9.31,9.31
291,10.66,10.66
292,14.87,14.87
293,16.2,16.2
294,19.67,19.67
295,24.85,24.85
296,19.39,19.39
297,16.18,16.18
298,12.68,12.68
299,9.71,9.71
300,7.38,7.38
301,5.45,5.45
302,4.6,4.6
303,3.48,3.48
304,3.31,3.31
305,14.01,14.01
306,15.58,15.58
307,13.14,13.14
308,13.52,13.52
309,17.66,17.66
310,22.51,22.51
311,22.02,22.02
312,28.0,28.0
313,31.08,31.08
314,41.57,41.57
315,54.03,54.03
316,57.2,57.2
317,56.49,56.49
318,59.92,59.92
319,68.89,68.89
320,68.89,68.89
321,67.07,67.07
322,64.54,64.54
323,61.46,61.46
324,60.85,60.85
325,54.73,54.73
326,53.65,53.65
327,54.35,54.35
328,58.98,58.98
329,91.34,91.34
330,98.52,98.52
331,93.6,93.6
332,93.75,93.75
333,87.69,87.69
334,73.74,73.74
335,66.36,66.36
336,139.21,139.21
337,104.27,104.27
338,123.56,123.56
339,132.89,132.89
340,182.51,182.51
341,277.27,277.27
342,739.59,739.59
343,961.52,961.52
344,829.83,829.83
345,356.42,356.42
346,215.72,215.72
347,139.13,139.13
348,114.83,114.83
349,92.94,92.94
350,82.04,82.04
351,82.42,82.42
352,88.68,88.68
353,150.0,150.0
354,140.87,140.87
355,122.96,122.96
356,109.08,109.08
357,89.95,89.95
358,115.23,115.23
359,98.6,98.6
360,140.64,140.64
361,139.42,139.42
362,179.18,179.18
363,229.83,229.83
364,343.01,343.01
365,684.08,684.08
366,1268.4,1268.4
367,1836.98,1836.98
368,1331.09,1331.09
369,328.27,328.27
370,189.61,189.61
371,141.83,141.83
372,100.16,100.16
373,86.21,86.21
374,79.69,79.69
375,78.54,78.54
376,94.29,94.29
377,254.3,254.3
378,324.64,324.64
379,318.15,318.15
380,278.17,278.17
381,201.54,201.54
382,212.22,212.22
383,160.99,160.99
384,91.37,91.37
385,81.72,81.72
386,79.2,79.2
387,82.31,82.31
388,88.8,88.8
389,95.42,95.42
390,149.61,149.61
391,174.26,174.26
392,93.39,93.39
393,55.69,55.69
394,33.09,33.09
395,26.79,26.79
396,21.87,21.87
397,19.17,19.17
398,16.77,16.77
399,16.77,16.77
400,20.9,20.9
401,27.31,27.31
402,30.83,30.83
403,30.06,30.06
404,28.41,28.41
405,25.95,25.95
406,25.36,25.36
407,24.49,24.49
408,16.75,16.75
409,14.59,14.59
410,14.86,14.86
411,15.54,15.54
412,15.64,15.64
413,21.2,21.2
414,35.29,35.29
415,35.69,35.69
416,28.29,28.29
417,19.83,19.83
418,17.64,17.64
419,17.65,17.65
420,16.35,16.35
421,14.66,14.66
422,13.72,13.72
423,13.3,13.3
424,16.24,16.24
425,31.7,31.7
426,42.38,42.38
427,29.74,29.74
428,28.01,28.01
429,23.15,23.15
430,19.02,19.02
431,16.11,16.11
432,12.83,12.83
433,11.81,11.81
434,12.28,12.28
435,13.11,13.11
436,14.65,14.65
437,18.75,18.75
438,20.72,20.72
439,25.06,25.06
440,23.52,23.52
441,17.76,17.76
442,17.87,17.87
443,20.4,20.4
444,18.87,18.87
445,17.15,17.15
446,16.43,16.43
447,17.46,17.46
448,20.64,20.64
449,40.83,40.83
450,58.85,58.85
451,41.99,41.99
452,40.31,40.31
453,38.37,38.37
454,34.96,34.96
455,31.72,31.72
456,28.06,28.06
457,28.22,28.22
458,28.87,28.87
459,31.23,31.23
460,38.19,38.19
461,47.07,47.07
462,77.71,77.71
463,85.59,85.59
464,54.04,54.04
465,31.86,31.86
466,27.92,27.92
467,23.4,23.4
468,21.33,21.33
469,18.04,18.04
470,16.12,16.12
