hour,time,temperature_2m,dew_point_2m,relative_humidity_2m,wet_bulb_C
0,2024-01-01 00:00:00,14.9,12.4,86,13.299448102347657
1,2024-01-01 01:00:00,15.2,12.9,86,13.592068640686637
2,2024-01-01 02:00:00,14.3,12.9,91,13.265919098365767
3,2024-01-01 03:00:00,14.6,13.4,93,13.785319881355182
4,2024-01-01 04:00:00,15.9,13.8,87,14.388791599219104
5,2024-01-01 05:00:00,14.1,13.2,95,13.511005663744623
6,2024-01-01 06:00:00,13.4,12.9,97,13.032878041515726
7,2024-01-01 07:00:00,13.4,13.0,97,13.032878041515726
8,2024-01-01 08:00:00,14.8,14.4,98,14.546875525855366
9,2024-01-01 09:00:00,15.1,14.6,97,14.734114719171831
10,2024-01-01 10:00:00,15.7,14.4,92,14.762227752718132
11,2024-01-01 11:00:00,15.8,14.0,89,14.518726731920655
12,2024-01-01 12:00:00,15.6,13.4,86,13.98222908863097
13,2024-01-01 13:00:00,15.7,12.9,83,13.74001021470401
14,2024-01-01 14:00:00,16.3,12.1,76,13.519454126439879
15,2024-01-01 15:00:00,17.8,11.8,68,13.992415793726618
16,2024-01-01 16:00:00,17.9,11.1,65,13.725570201169713
17,2024-01-01 17:00:00,17.2,10.2,63,12.848763570015965
18,2024-01-01 18:00:00,15.7,9.8,68,12.04912247927113
19,2024-01-01 19:00:00,13.8,8.9,72,10.718073606968321
20,2024-01-01 20:00:00,12.6,7.2,70,9.386438922489788
21,2024-01-01 21:00:00,12.1,5.5,64,8.313419323903226
22,2024-01-01 22:00:00,11.1,4.8,65,7.498577371803664
23,2024-01-01 23:00:00,10.4,4.7,68,7.14455066591051
24,2024-01-02 00:00:00,9.6,3.8,67,6.3108917769299495
25,2024-01-02 01:00:00,8.7,2.8,67,5.480877012982386
26,2024-01-02 02:00:00,8.1,2.3,67,4.927531771034362
27,2024-01-02 03:00:00,7.4,2.0,68,4.368327632176953
28,2024-01-02 04:00:00,6.9,1.5,68,3.9056198421102835
29,2024-01-02 05:00:00,6.4,1.0,68,3.4429108624761398
30,2024-01-02 06:00:00,5.9,0.4,68,2.9802006691348764
31,2024-01-02 07:00:00,5.6,-0.2,66,2.54167863883362
32,2024-01-02 08:00:00,5.2,0.1,69,2.412258348004947
33,2024-01-02 09:00:00,5.6,0.3,69,2.783676166982465
34,2024-01-02 10:00:00,7.2,0.9,64,3.8424652561196346
35,2024-01-02 11:00:00,9.1,2.0,61,5.3047746590244245
36,2024-01-02 12:00:00,10.7,3.1,59,6.55719206798878
37,2024-01-02 13:00:00,12.2,4.7,60,8.00059869863191
38,2024-01-02 14:00:00,13.2,6.4,63,9.212579871208506
39,2024-01-02 15:00:00,13.8,7.4,66,10.077648210816855
40,2024-01-02 16:00:00,13.8,7.3,65,9.971082079703166
41,2024-01-02 17:00:00,13.6,7.1,65,9.787934643278899
42,2024-01-02 18:00:00,12.6,8.1,74,9.799991770783226
43,2024-01-02 19:00:00,11.6,8.0,78,9.261212139366709
44,2024-01-02 20:00:00,10.4,7.7,83,8.61022182470566
45,2024-01-02 21:00:00,10.0,7.4,84,8.32175094221844
46,2024-01-02 22:00:00,10.1,8.3,89,8.917625849377853
47,2024-01-02 23:00:00,10.1,8.5,90,9.018230891936835
48,2024-01-03 00:00:00,9.4,8.1,92,8.527545690405734
49,2024-01-03 01:00:00,9.1,7.6,90,8.033219650884549
50,2024-01-03 02:00:00,9.0,7.7,92,8.131690431768423
51,2024-01-03 03:00:00,8.9,7.7,92,8.032726568732588
52,2024-01-03 04:00:00,8.6,6.7,88,7.346894448815114
53,2024-01-03 05:00:00,8.1,6.1,88,6.856757344021876
54,2024-01-03 06:00:00,7.1,5.7,91,6.157098317054686
55,2024-01-03 07:00:00,6.6,5.6,93,5.850059280229546
56,2024-01-03 08:00:00,7.7,6.4,92,6.845158677222738
57,2024-01-03 09:00:00,7.9,6.2,89,6.755780172066261
58,2024-01-03 10:00:00,8.4,6.2,86,6.959290593600858
59,2024-01-03 11:00:00,9.4,6.5,82,7.545461830668646
60,2024-01-03 12:00:00,10.6,6.8,77,8.207807624441738
61,2024-01-03 13:00:00,12.1,7.1,71,9.022315943238963
62,2024-01-03 14:00:00,13.4,7.7,68,9.920736304166903
63,2024-01-03 15:00:00,14.4,7.9,65,10.520523413239427
64,2024-01-03 16:00:00,14.4,7.8,65,10.520523413239427
65,2024-01-03 17:00:00,13.6,7.6,67,9.999804360394293
66,2024-01-03 18:00:00,13.0,7.2,68,9.55058023034803
67,2024-01-03 19:00:00,11.7,7.4,75,9.052041303581554
68,2024-01-03 20:00:00,9.8,7.2,84,8.127664771707366
69,2024-01-03 21:00:00,9.2,6.9,86,7.739622699330191
70,2024-01-03 22:00:00,8.6,6.8,88,7.346894448815114
71,2024-01-03 23:00:00,7.9,6.6,91,6.946972303365449
72,2024-01-04 00:00:00,7.2,6.1,93,6.445207959220822
73,2024-01-04 01:00:00,7.2,5.9,91,6.255832638800253
74,2024-01-04 02:00:00,7.0,5.4,90,5.964689280537819
75,2024-01-04 03:00:00,6.2,4.7,90,5.176675202602004
76,2024-01-04 04:00:00,5.8,4.2,90,4.782667626805891
77,2024-01-04 05:00:00,5.4,3.8,90,4.38865968712291
78,2024-01-04 06:00:00,5.0,3.5,90,3.994651378957272
79,2024-01-04 07:00:00,4.8,3.3,90,3.797647085236065
80,2024-01-04 08:00:00,4.6,3.2,91,3.688733217015404
81,2024-01-04 09:00:00,5.6,3.5,87,4.31688231519313
82,2024-01-04 10:00:00,8.1,4.7,79,6.011983491169483
83,2024-01-04 11:00:00,10.7,5.5,70,7.616411250504887
84,2024-01-04 12:00:00,12.9,5.7,62,8.836417461064924
85,2024-01-04 13:00:00,14.1,5.8,57,9.384784646721597
86,2024-01-04 14:00:00,14.7,6.5,58,10.027417463022534
87,2024-01-04 15:00:00,14.9,6.2,56,9.983996298710727
88,2024-01-04 16:00:00,14.4,6.6,59,9.868828224227641
89,2024-01-04 17:00:00,13.8,5.8,59,9.331811136955544
90,2024-01-04 18:00:00,12.8,5.9,63,8.848957703205544
91,2024-01-04 19:00:00,11.9,6.1,67,8.432024536508024
92,2024-01-04 20:00:00,12.3,3.1,53,7.382536761077784
93,2024-01-04 21:00:00,11.9,4.2,59,7.631244494290247
94,2024-01-04 22:00:00,11.4,4.8,64,7.674718793652296
95,2024-01-04 23:00:00,12.1,5.9,66,8.515337809695177
96,2024-01-05 00:00:00,12.2,7.2,72,9.217900468432866
97,2024-01-05 01:00:00,12.5,8.6,77,10.016486351801623
98,2024-01-05 02:00:00,12.9,9.2,78,10.5022990316969
99,2024-01-05 03:00:00,13.1,9.9,81,11.010918385423093
100,2024-01-05 04:00:00,13.2,11.0,87,11.748603857300907
101,2024-01-05 05:00:00,13.4,11.8,90,12.268754155928104
102,2024-01-05 06:00:00,13.4,11.9,91,12.377321757272309
103,2024-01-05 07:00:00,12.8,11.9,94,12.107703634421195
104,2024-01-05 08:00:00,14.2,13.4,95,13.61064225313191
105,2024-01-05 09:00:00,9.9,9.2,95,9.326254461071033
106,2024-01-05 10:00:00,9.6,8.9,95,9.027342533358718
107,2024-01-05 11:00:00,10.1,9.1,94,9.423495434460637
108,2024-01-05 12:00:00,10.4,8.6,89,9.212422201617732
109,2024-01-05 13:00:00,11.5,9.4,87,10.08625606350111
110,2024-01-05 14:00:00,14.6,10.7,77,12.015540620018033
111,2024-01-05 15:00:00,16.5,10.2,67,12.674227180745596
112,2024-01-05 16:00:00,16.9,8.9,59,12.106380319411532
