hour,timestamp_local,IT_load_MW
0,2018-01-01 00:00:00,34.03
1,2018-01-01 01:00:00,46.54
2,2018-01-01 02:00:00,39.18
3,2018-01-01 03:00:00,33.92
4,2018-01-01 04:00:00,35.7
5,2018-01-01 05:00:00,33.87
6,2018-01-01 06:00:00,30.79
7,2018-01-01 07:00:00,29.2
8,2018-01-01 08:00:00,27.37
9,2018-01-01 09:00:00,28.78
10,2018-01-01 10:00:00,35.69
11,2018-01-01 11:00:00,48.45
12,2018-01-01 12:00:00,72.32
13,2018-01-01 13:00:00,95.44
14,2018-01-01 14:00:00,107.86
15,2018-01-01 15:00:00,109.9
16,2018-01-01 16:00:00,109.41
17,2018-01-01 17:00:00,103.77
18,2018-01-01 18:00:00,96.56
19,2018-01-01 19:00:00,102.01
20,2018-01-01 20:00:00,107.16
21,2018-01-01 21:00:00,100.46
22,2018-01-01 22:00:00,117.05
23,2018-01-01 23:00:00,139.28
24,2018-01-02 00:00:00,140.99
25,2018-01-02 01:00:00,122.28
26,2018-01-02 02:00:00,81.6
27,2018-01-02 03:00:00,59.12
28,2018-01-02 04:00:00,47.68
29,2018-01-02 05:00:00,42.47
30,2018-01-02 06:00:00,43.22
31,2018-01-02 07:00:00,51.63
32,2018-01-02 08:00:00,69.85
33,2018-01-02 09:00:00,88.99
34,2018-01-02 10:00:00,105.7
35,2018-01-02 11:00:00,100.91
36,2018-01-02 12:00:00,91.96
37,2018-01-02 13:00:00,88.73
38,2018-01-02 14:00:00,96.08
39,2018-01-02 15:00:00,104.74
40,2018-01-02 16:00:00,101.4
41,2018-01-02 17:00:00,86.38
42,2018-01-02 18:00:00,72.74
43,2018-01-02 19:00:00,77.32
44,2018-01-02 20:00:00,100.26
45,2018-01-02 21:00:00,118.26
46,2018-01-02 22:00:00,121.47
47,2018-01-02 23:00:00,102.38
48,2018-01-03 00:00:00,89.84
49,2018-01-03 01:00:00,65.78
50,2018-01-03 02:00:00,43.66
51,2018-01-03 03:00:00,31.72
52,2018-01-03 04:00:00,26.06
53,2018-01-03 05:00:00,24.68
54,2018-01-03 06:00:00,24.86
55,2018-01-03 07:00:00,26.88
