group,run_id,case_id,year,pue,load_multiplier,reactor_scenario,bess_applied,carbon_price_usd_per_tco2,wacc_effective,crf_effective,smr_capex_usd_per_kWe,absorption_capex_usd_per_kWth,smr_capex_tag,absorption_capex_tag,tac_usd_per_yr,tac_case0_baseline_usd_per_yr,heat_recovery_premium,lcoe_usd_per_mwh_e,lcoc_usd_per_mwh_c,co2_annual_tonnes,co2_per_mwh_kg,epbt_years,water_total_l_per_mwh_e,water_direct_site_l_per_mwh_e,water_indirect_generation_l_per_mwh_e,water_scarcity_m3_world_eq_per_mwh_e,solve_seconds,it_energy_annual_MWh,cool_energy_annual_MWh,capex_annual_usd,fom_annual_usd,vom_annual_usd,carbon_annual_usd,grid_annual_usd,fuel_annual_usd,co2_direct_annual_tonnes,co2_lifecycle_annual_tonnes,ngcc_capacity_MWe,delivered_fuel_usd_per_mmbtu,co2_rx_lifecycle_tonnes,co2_grid_import_tonnes,co2_export_credit_tonnes,ptc_annual_usd,Q_abs_cool_annual_MWh,Q_to_abs_annual_MWh,P_grid_buy_annual_MWh,P_grid_sell_annual_MWh,co2_case0_baseline_tonnes
s2_price,case0_year2022,0,2022,1.35,1.0,,False,0.0,0.067,0.0922,,,,,85125488.37185383,85125488.37185383,0.0,102.60193441817658,26.10239607284408,381238.4365264991,459.50750838938404,,1961.7315118012368,111.11111111111111,1850.6204006901257,1.275125482670804,0.055,829667.48,921852.7555555555,3340174.358569824,1280000.0,460926.3777777777,0.0,80044387.63550623,0.0,,,,,,,,,,,,,381238.4365264991
s2_price,case0_year2023,0,2023,1.35,1.0,,False,0.0,0.067,0.0922,,,,,75869050.00119022,75869050.00119022,0.0,91.44512931999,24.133880223726717,362584.6742873656,437.02408859916454,,1963.973712271822,111.11111111111113,1852.862601160711,1.2765829129766844,0.054,829667.48,921852.7555555556,3340174.358569824,1280000.0,460926.3777777778,0.0,70787949.26484261,0.0,,,,,,,,,,,,,362584.6742873656
main_baseline,case0,0,2023,1.35,1.0,,False,0.0,0.067,0.0922,,,,,75869050.00119022,75869050.00119022,0.0,91.44512931999,24.133880223726717,362584.6742873656,437.02408859916454,,1963.973712271822,111.11111111111113,1852.862601160711,1.2765829129766844,0.056,829667.48,921852.7555555556,3340174.358569824,1280000.0,460926.3777777778,0.0,70787949.26484261,0.0,,,,,,,,,,,,,362584.6742873656
s2_price,case3_year2022,3,2022,1.35,1.0,,False,0.0,0.067,0.0922,,,,,86979238.17349729,85125488.37185383,-0.021776671559823803,104.8362630454038,,485361.8154268101,585.0076411658441,0.18496813898322362,1127.6490776873775,111.11111111111111,1016.5379665762664,0.7329719004967954,0.055,829667.48,921852.7555555555,24133828.269307002,7140000.0,3326284.719562631,0.0,0.0,52379125.18462765,416024.4132229801,485361.8154268101,200.0,6.5255616438356165,,,,,,,,,381238.4365264991
main_baseline,case3,3,2023,1.35,1.0,,False,0.0,0.067,0.0922,,,,,55576822.08038327,75869050.00119022,0.2674638461993211,66.98686331587116,,485855.05842715554,585.6021480161613,0.18474430390337926,1128.8807089317834,111.11111111111113,1017.7695978206723,0.7337724608056593,0.055,829667.48,921852.7555555556,24133828.269307002,7140000.0,3329756.3703776496,0.0,0.0,20973237.440698616,416447.1929375619,485855.05842715554,200.0,2.633095890410959,,,,,,,,,362584.6742873656
s2_price,case0_year2024,0,2024,1.35,1.0,,False,0.0,0.067,0.0922,,,,,36455674.63481261,36455674.63481261,0.0,43.940103130006506,13.543738251439411,349827.061267586,421.6473101580238,,1964.8976123638815,111.11111111111113,1853.7865012527704,1.277183448036523,0.037,829667.48,921852.7555555556,3340174.358569824,1280000.0,460926.3777777778,0.0,31374573.898465004,0.0,,,,,,,,,,,,,349827.061267586
s2_price,case3_year2023,3,2023,1.35,1.0,,False,0.0,0.067,0.0922,,,,,55576822.08038327,75869050.00119022,0.2674638461993211,66.98686331587116,,485855.05842715554,585.6021480161613,0.18474430390337926,1128.8807089317834,111.11111111111113,1017.7695978206723,0.7337724608056593,0.036,829667.48,921852.7555555556,24133828.269307002,7140000.0,3329756.3703776496,0.0,0.0,20973237.440698616,416447.1929375619,485855.05842715554,200.0,2.633095890410959,,,,,,,,,362584.6742873656
s3_battery,case0_bess_off,0,2023,1.35,1.0,,False,0.0,0.067,0.0922,,,,,75869050.00119022,75869050.00119022,0.0,91.44512931999,24.133880223726717,362584.6742873656,437.02408859916454,,1963.973712271822,111.11111111111113,1852.862601160711,1.2765829129766844,0.037,829667.48,921852.7555555556,3340174.358569824,1280000.0,460926.3777777778,0.0,70787949.26484261,0.0,,,,,,,,,,,,,362584.6742873656
s2_price,case3_year2024,3,2024,1.35,1.0,,False,0.0,0.067,0.0922,,,,,53499739.44585373,36455674.63481261,-0.4675284432883664,64.48335114430873,,486054.62322844245,585.8426839008351,0.1846522300430569,1129.3882033485486,111.11111111111113,1018.2770922374374,0.7341023321765565,0.038,829667.48,921852.7555555556,24133828.269307002,7140000.0,3331186.8662452903,0.0,0.0,18894724.310301438,416618.24848152214,486054.62322844245,200.0,2.346164383561644,,,,,,,,,349827.061267586
s3_battery,case0_bess_on,0,2023,1.35,1.0,,False,0.0,0.067,0.0922,,,,,75869050.00119022,75869050.00119022,0.0,91.44512931999,24.133880223726717,362584.6742873656,437.02408859916454,,1963.973712271822,111.11111111111113,1852.862601160711,1.2765829129766844,0.037,829667.48,921852.7555555556,3340174.358569824,1280000.0,460926.3777777778,0.0,70787949.26484261,0.0,,,,,,,,,,,,,362584.6742873656
s1_pue,case1_pue110,1,2023,1.1,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,101141142.59465753,75869050.00119022,-0.3331014767295867,121.90563693620669,,-404192.98267586745,-487.1746722866219,0.5583906813630124,6894.272514705172,111.11111111111113,6783.161403594061,4.481277134558362,8.675,829667.48,921852.7555555556,152219433.19682938,33950000.0,8076562.064282004,-0.0,-71998488.39237732,21759300.0,,,,,26110.750925160002,20306.78172763201,450610.51532865944,-42865664.27407654,0.0,0.0,71121.7011696808,1344500.4669862974,362584.6742873656
main_baseline,case1,1,2023,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,113370159.47922154,75869050.00119022,-0.4942873210807703,136.64529731745245,,-343631.50826446357,-414.17979678372296,0.5583906813630124,6917.708903509777,111.11111111111113,6806.597792398666,4.4965107872813554,8.855,829667.48,921852.7555555556,152219433.19682938,33950000.0,8076562.064282004,-0.0,-59769471.507813305,21759300.0,,,,,26110.750925160002,24207.41317929641,393949.67236891994,-42865664.27407654,0.0,0.0,84814.94739490368,1178093.1534329941,362584.6742873656
s1_pue,case1_pue130,1,2023,1.3,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,111034279.85014097,75869050.00119022,-0.46349901374011004,133.8298565711422,,-355199.430342295,-428.1226381710116,0.5583906813630123,6913.232289917904,111.11111111111113,6802.121178806793,4.493600988446638,8.866,829667.48,921852.7555555556,152219433.19682938,33950000.0,8076562.064282004,-0.0,-62105351.13689388,21759300.0,,,,,26110.750925160006,23462.348744711664,404772.53001216665,-42865664.27407654,0.0,0.0,82199.38350919678,1209878.8200645924,362584.6742873656
s2_price,case1_year2024,1,2024,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,141512843.0856877,36455674.63481261,-2.8817782006029007,170.56573446230254,,-328830.75240074616,-396.34041387369575,0.5583906813630124,6925.104035560105,111.11111111111113,6813.992924448994,4.501317623114068,8.705,829667.48,921852.7555555556,152219433.19682938,33950000.0,8076562.064282002,-0.0,-31626787.901347153,21759300.0,,,,,26110.750925160002,24586.040261778453,379527.54358768463,-42865664.27407654,0.0,0.0,89135.72244593427,1181873.6982807731,349827.061267586
s1_pue,case1_pue150,1,2023,1.5,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,120927417.10272114,75869050.00119022,-0.5938965507123664,145.75407620257835,,-306205.87801262643,-369.07060406010663,0.5583906813630124,6932.192065130546,111.11111111111113,6821.080954019435,4.5059248423348555,8.883,829667.48,921852.7555555556,152219433.19682938,33950000.0,8076562.064282004,-0.0,-52212213.884313695,21759300.0,,,,,26110.750925160002,26617.91576177649,358934.5446995629,-42865664.27407654,0.0,0.0,93277.0658486613,1075257.1731542246,362584.6742873656
s2_price,case1_year2023,1,2023,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,113370159.47922154,75869050.00119022,-0.4942873210807703,136.64529731745245,,-343631.50826446357,-414.17979678372296,0.5583906813630124,6917.708903509777,111.11111111111113,6806.597792398666,4.4965107872813554,8.918,829667.48,921852.7555555556,152219433.19682938,33950000.0,8076562.064282004,-0.0,-59769471.507813305,21759300.0,,,,,26110.750925160002,24207.41317929641,393949.67236891994,-42865664.27407654,0.0,0.0,84814.94739490368,1178093.1534329941,362584.6742873656
s2_price,case1_year2022,1,2022,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,96950769.67084049,85125488.37185383,-0.1389158702659098,116.85497142884338,,-367607.7714276801,-443.0784383976097,0.5583906813630124,6916.867112558221,111.11111111111111,6805.75600144711,4.495963623162844,8.958,829667.48,921852.7555555555,152219433.19682938,33950000.0,8076562.064282006,-0.0,-76188861.31619434,21759300.0,,,,,26110.750925160002,24117.592728112522,417836.1150809526,-42865664.27407654,0.0,0.0,84323.11177697091,1178911.9048788247,381238.4365264991
s3_battery,case3_bess_on,3,2023,1.35,1.0,,False,0.0,0.067,0.0922,,,,,55576822.08038327,75869050.00119022,0.2674638461993211,66.98686331587116,,485855.05842715554,585.6021480161613,0.18474430390337926,1128.8807089317834,111.11111111111113,1017.7695978206723,0.7337724608056593,0.036,829667.48,921852.7555555556,24133828.269307002,7140000.0,3329756.3703776496,0.0,0.0,20973237.440698616,416447.1929375619,485855.05842715554,200.0,2.633095890410959,,,,,,,,,362584.6742873656
s3_battery,case3_bess_off,3,2023,1.35,1.0,,False,0.0,0.067,0.0922,,,,,55576822.08038327,75869050.00119022,0.2674638461993211,66.98686331587116,,485855.05842715554,585.6021480161613,0.18474430390337926,1128.8807089317834,111.11111111111113,1017.7695978206723,0.7337724608056593,0.038,829667.48,921852.7555555556,24133828.269307002,7140000.0,3329756.3703776496,0.0,0.0,20973237.440698616,416447.1929375619,485855.05842715554,200.0,2.633095890410959,,,,,,,,,362584.6742873656
s3_battery,case1_bess_off,1,2023,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,113370159.47922154,75869050.00119022,-0.4942873210807703,136.64529731745245,,-343631.50826446357,-414.17979678372296,0.5583906813630124,6917.708903509777,111.11111111111113,6806.597792398666,4.4965107872813554,8.791,829667.48,921852.7555555556,152219433.19682938,33950000.0,8076562.064282004,-0.0,-59769471.507813305,21759300.0,,,,,26110.750925160002,24207.41317929641,393949.67236891994,-42865664.27407654,0.0,0.0,84814.94739490368,1178093.1534329941,362584.6742873656
